nome_produto,nivel_comercializacao,estado,mes_ano,preco_medio
ABACAXI HAVAÍ (kg),PRODUTOR,PR,10/2017,"1,30"
ABACAXI HAVAÍ (kg),PRODUTOR,PR,11/2017,"1,40"
ABACAXI HAVAÍ (kg),PRODUTOR,PR,12/2017,"1,25"
ABACAXI PÉROLA (6.50 kg),PRODUTOR,DF,05/2017,"38,10"
ABACAXI PÉROLA (6.50 kg),PRODUTOR,DF,06/2017,"38,10"
ABACAXI PÉROLA (6.50 kg),PRODUTOR,DF,07/2017,"33,90"
ABACAXI PÉROLA (6.50 kg),PRODUTOR,DF,08/2017,"32,26"
ABACAXI PÉROLA (6.50 kg),PRODUTOR,DF,09/2017,"13,60"
ABACAXI PÉROLA (6.50 kg),PRODUTOR,DF,10/2017,"14,73"
ABACAXI PÉROLA (6.50 kg),PRODUTOR,DF,11/2017,"15,31"
ABACAXI PÉROLA (6.50 kg),PRODUTOR,DF,12/2017,"13,57"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,11/2015,"29,00"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,12/2015,"24,90"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,01/2016,"31,66"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,02/2016,"30,70"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,03/2016,"30,70"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,04/2016,"30,70"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,05/2016,"30,70"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,06/2016,"28,54"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,07/2016,"28,40"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,08/2016,"29,60"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,09/2016,"29,45"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,10/2016,"27,57"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,11/2016,"26,90"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,12/2016,"27,73"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,01/2017,"35,70"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,02/2017,"38,10"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,03/2017,"38,10"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,04/2017,"38,10"
ABACAXI PÉROLA (kg),PRODUTOR,AM,01/2014,"1,35"
ABACAXI PÉROLA (kg),PRODUTOR,AM,02/2014,"1,56"
ABACAXI PÉROLA (kg),PRODUTOR,AM,03/2014,"1,60"
ABACAXI PÉROLA (kg),PRODUTOR,AM,04/2014,"1,63"
ABACAXI PÉROLA (kg),PRODUTOR,AM,05/2014,"1,60"
